lut_table_name,processing_step,join_table_name,tested,exported
LU.CanopyType,join,dbo.BasalArea,TRUE,TRUE
LU.Age,join,dbo.BirdObservation,TRUE,TRUE
LU.BirdSpecies,join,dbo.BirdObservation,TRUE,TRUE
LU.DetectionType,join,dbo.BirdObservation,TRUE,TRUE
LU.Interval,join,dbo.BirdObservation,TRUE,TRUE
LU.Sex,join,dbo.BirdObservation,TRUE,TRUE
LU.Noise,join,dbo.BirdSamplingEvent,TRUE,TRUE
LU.Rain,join,dbo.BirdSamplingEvent,TRUE,TRUE
LU.Wind,join,dbo.BirdSamplingEvent,TRUE,TRUE
LU.CanopyType,join,dbo.CanopyCover,TRUE,TRUE
LU.CanopyType,join,dbo.CanopyHeight,TRUE,TRUE
LU.FoliarType,join,dbo.FoliarCover,TRUE,TRUE
LU.FoliarCoverClass,join,dbo.FoliarCover,TRUE,TRUE
LU.GroundCoverClass,join,dbo.GroundCover,TRUE,TRUE
LU.GroundCoverType,join,dbo.GroundCover,TRUE,TRUE
LU.DensityBoardCoverClass,join,dbo.HorizonVegetationProfile,TRUE,TRUE
LU.DensityBoardDistanceClass,join,dbo.HorizonVegetationProfile,TRUE,TRUE
LU.DensityBoardHeightClass,join,dbo.HorizonVegetationProfile,TRUE,TRUE
LU.AspectVariability,join,dbo.Plot,FALSE,TRUE
LU.HabitatType,join,dbo.Plot,FALSE,TRUE
LU.ParkUnit,join,dbo.Plot,FALSE,TRUE
LU.SlopeVariability,join,dbo.Plot,FALSE,TRUE
LU.TopoPosition,join,dbo.Plot,FALSE,TRUE
LU.PlotVegetationCoverClass,join,dbo.PlotVegetation,FALSE,
LU.PlotVegetationType,join,dbo.PlotVegetation,FALSE,
LU.ParkUnit,join,dbo.SamplingPeriod,FALSE,
LU.DBHClass,join,dbo.TreeTally,FALSE,
LU.TreeSpecies,join,dbo.TreeTally,FALSE,
LU.VegetationHeightClass,join,dbo.VerticalVegetationProfile,FALSE,
LU.VegetationProfileClass,join,dbo.VerticalVegetationProfile,FALSE,
